name	media type	episode count	dates aired	rating
Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen Taikai Kaisai!!	OVA	1	2005-12-22 00:00:00	6.85
Detective Conan Movie 10: Promo Special	Special	1	2006	7.79
Detective Conan: Anti-Crime Guide	OVA	1	2006	6.97
Kinnikuman II Sei: Ultimate Muscle 2	TV	13	2006-01-04 00:00:00	7.06
One Piece Movie 7: Karakuri-jou no Mecha Kyohei	Movie	1	2006-03-04 00:00:00	7.38
Detective Conan OVA 06: Follow the Vanished Diamond! Conan & Heiji vs. Kid!	OVA	1	2006-03-15 00:00:00	7.50
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Hashire! Ryoutsu-shiki Chinchin Densha	Special	1	2006-04-02 00:00:00	6.85
Akubi Girl	TV	26	2006-04-02 00:00:00	6.06
Gintama	TV	201	2006-04-04 00:00:00	8.99
Himitsukessha Taka no Tsume	TV	11	2006-04-06 00:00:00	6.29
Cofun Gal no Coffy (TV)	TV	11	2006-04-06 00:00:00	5.52
Detective Conan Movie 10: Requiem of the Detectives	Movie	1	2006-04-15 00:00:00	8.18
Detective Conan: Conan vs. Kid - Jet Black Sniper	Movie	1	2006-07-28 00:00:00	7.48
Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!	Movie	1	2006-08-05 00:00:00	6.96
Lupin III: Seven Days Rhapsody	Special	1	2006-09-08 00:00:00	7.11
Himitsukessha Taka no Tsume Specials	Special	4	2006-09-21 00:00:00	5.18
Cofun Gal no Coffy (TV) Specials	Special	4	2006-09-21 00:00:00	5.12
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryoutsu no Asakusa Rinyuuaru Daisakusen!! - Aa, Om	Special	1	2006-09-24 00:00:00	6.73
One Piece: Straw Hat Theater	Special	5	2006-10-01 00:00:00	7.48
Katekyo Hitman Reborn!	TV	203	2006-10-07 00:00:00	8.28
Naruto: Shippuuden	TV	500	2007-02-15 00:00:00	8.20
Dr. Slump Movie 11: Dr. Mashirito & Abale-chan	Movie	1	2007-03-03 00:00:00	6.02
One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi	Movie	1	2007-03-03 00:00:00	7.41
One Piece: Episode of Alabasta - Prologue	OVA	1	2007-03-03 00:00:00	7.36
Detective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys	OVA	1	2007-03-13 00:00:00	7.34
Himitsukessha Taka no Tsume The Movie 1: Soutou wa Nido Shinu	Movie	1	2007-03-17 00:00:00	5.78
Cofun Gal no Coffy: Okehazama no Tatakai	Movie	1	2007-03-17 00:00:00	5.04
Koutetsushin Jeeg	TV	13	2007-04-05 00:00:00	7.02
Detective Conan Movie 11: Jolly Roger in the Deep Azure	Movie	1	2007-04-21 00:00:00	7.58
Lupin III: Kiri no Elusive	Special	1	2007-07-27 00:00:00	6.96
Naruto: Shippuuden Movie 1	Movie	1	2007-08-04 00:00:00	7.40
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Shiiron Tankentai! Sumidagawa no Chikai - Omoide n	Special	2	2007-08-05 00:00:00	7.15
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryou-san no Sushi Kuinee! - Choujyou Maguro Taiket	Special	2	2007-09-30 00:00:00	6.57
Himitsukessha Taka no Tsume: Christmas Daisakusen	Special	1	2007-10-11 00:00:00	5.00
Cofun Gal no Coffy (TV): Christmas Daisakusen	Special	1	2007-10-11 00:00:00	4.63
Pyuu to Fuku! Jaguar	OVA	3	2007-11-19 00:00:00	6.70
Detective Conan: Black History	Special	1	2007-12-17 00:00:00	7.72
Detective Conan: Black History 2	Special	1	2007-12-17 00:00:00	7.61
